City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Butaritari,KI,82.02,light rain,3.0707,172.7902,Isles Sunset Lodge
4,Yarada,IN,86.32,scattered clouds,17.65,83.2667,Yarada Jungle Beach Resorts
5,Ponta Do Sol,PT,78.01,scattered clouds,32.6667,-17.1,Hotel do Campo
8,Atuona,PF,77.92,clear sky,-9.8,-139.0333,Villa Enata
9,Novosergiyevka,RU,76.53,overcast clouds,52.0934,53.6528,Gostinichnyy Kompleks Edem
14,Hatillo,PR,89.2,overcast clouds,18.4863,-66.8254,El Buen Hotel
18,Norsup,VU,79.23,overcast clouds,-16.0667,167.3833,Nabelchel Bungalows
19,Praia,CV,86.54,few clouds,14.9215,-23.5087,LT Aparthotel
34,Boone,US,83.39,overcast clouds,39.0334,-92.3335,Cottonwoods RV Park
40,Black River,JM,86.02,overcast clouds,18.0264,-77.8487,Idlers' Rest Beach Hotel
44,Monroe,US,77.49,clear sky,43.1501,-77.6831,Rodeway Inn Rochester Airport
45,Khromtau,KZ,76.26,scattered clouds,50.2503,58.4347,Придорожный сервис Кең Дала
47,Aquiraz,BR,85.44,broken clouds,-3.9014,-38.3911,Pousada Rua Camurupim
52,San Patricio,US,86.07,few clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
53,Saint Marys,US,89.08,haze,30.7305,-81.5465,Spencer House Inn
54,Oriximina,BR,85.37,clear sky,-1.7656,-55.8661,Pousada Tia Amélia
58,Hami,CN,82.31,overcast clouds,42.8,93.45,Laoyutang Resort
63,Cabo San Lucas,MX,76.3,broken clouds,22.8909,-109.9124,Vista Roof Restaurant
64,Faanui,PF,80.04,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
66,Meulaboh,ID,76.37,overcast clouds,4.1363,96.1285,Kost Pria
68,Biak,ID,76.17,scattered clouds,-0.9131,122.8766,Penginapan Kim
70,Dhamrai,BD,75.18,overcast clouds,23.9202,90.2109,Dhamrai to Kalampur Auto Station
72,Bandarbeyla,SO,78.87,few clouds,9.4942,50.8122,JABIR HOTEL
76,Vaini,TO,75.85,overcast clouds,-21.2,-175.2,Keleti Beach Resort
87,Muros,ES,75.16,overcast clouds,42.7762,-9.0603,Apartment Av. Castelao
91,Georgetown,MY,80.53,scattered clouds,5.4112,100.3354,Cititel Penang
98,Sola,VU,81.23,overcast clouds,-13.8833,167.55,Leumerus Bungalows
99,Bethel,US,82.87,broken clouds,41.3712,-73.414,Courtyard by Marriott Danbury
102,Dicabisagan,PH,81.27,overcast clouds,17.0818,122.4157,Nancy Montanes Bernardo
103,Namatanai,PG,79.23,light rain,-3.6667,152.4333,Seagulls Inn Namatani
104,Santa Rosa,PH,87.12,few clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
105,Urumqi,CN,76.15,clear sky,43.801,87.6005,Hua Ling Grand Hotel Urumqi
106,Miri,MY,77.95,moderate rain,4.4148,114.0089,"Mega Hotel, Miri"
109,Busayra,JO,84.7,clear sky,30.7376,35.6078,Matan Eco Villege
111,Am Timan,TD,86.25,light rain,11.0297,20.2827,Palais du chef Canton Salamt
116,Itabirito,BR,76.42,clear sky,-20.2533,-43.8014,Aredes Apart Hotel
120,Porto Murtinho,BR,76.24,broken clouds,-21.6989,-57.8825,Hotel Pantanal
121,Buritis,BR,83.73,clear sky,-15.6178,-46.4233,Hotel Rainha do Vale
123,Ewa Beach,US,76.95,overcast clouds,21.3156,-158.0072,Base Lodging
125,Hwange,ZW,76.96,clear sky,-18.3693,26.5019,Hwange Colliery Guest House
128,Lorengau,PG,80.31,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
130,Tomatlan,MX,83.62,overcast clouds,19.9333,-105.25,El Salvial
131,Trairi,BR,83.55,scattered clouds,-3.2778,-39.2689,janelas do mar
134,Mumford,GH,75.96,overcast clouds,5.2618,-0.759,Spanish Villa
137,Kavieng,PG,81.91,light rain,-2.5744,150.7967,Nusa Island Retreat
139,Itoman,JP,77.02,light rain,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
141,Mossendjo,CG,79.52,overcast clouds,-2.9506,12.7261,HOTEL D'ASSISE
148,Saint-Georges,GD,81.52,clear sky,12.0564,-61.7485,Radisson Grenada Beach Resort
150,Port-Gentil,GA,80.56,few clouds,-0.7193,8.7815,Fengshui Residence
151,Kavaratti,IN,82.54,moderate rain,10.5669,72.642,Hotels in Lakshadweep Islands
153,Reo,BF,89.06,broken clouds,12.3167,-2.4667,Hôtel Deogratias
155,Avarua,CK,75.25,overcast clouds,-21.2078,-159.775,Paradise Inn
165,Mwinilunga,ZM,77.94,scattered clouds,-11.7358,24.4293,Kwakuwahi Lodge
166,Galle,LK,79.39,overcast clouds,6.0367,80.217,Amangalla
169,Puerto Escondido,MX,81.41,overcast clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
172,Itarema,BR,83.66,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
173,Sao Jose Da Coroa Grande,BR,79.21,broken clouds,-8.8978,-35.1478,Crôa Mares Hotel
175,Domoni,KM,76.62,few clouds,-12.2569,44.5319,Al Djadid
176,Arraial Do Cabo,BR,78.66,clear sky,-22.9661,-42.0278,Pousada Porto Praia
177,Hamilton,US,87.26,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
181,Porbandar,IN,85.71,overcast clouds,21.6422,69.6093,Lords Inn Porbandar
182,Hambantota,LK,80.94,scattered clouds,6.1241,81.1185,Bungalow 63
188,Coahuayana,MX,82.27,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
198,Hopelchen,MX,86.2,broken clouds,19.7667,-89.85,Hotel Jaguar
202,Meiganga,CM,76.98,light rain,6.5167,14.3,DFR HOUSE
207,Macomer,IT,84.34,scattered clouds,40.262,8.7699,B&B La Casa Antica
208,Moratuwa,LK,79.18,light rain,6.773,79.8816,Sa Mansion By Yoho
210,Oistins,BB,86.09,broken clouds,13.0667,-59.5333,Butterfly Beach Hotel
212,Samarai,PG,80.08,few clouds,-10.6167,150.6667,Nuli Sapi
216,Haifa,IL,81.54,clear sky,32.8156,34.9892,Dan Panorama Haifa Hotel
217,Hobyo,SO,79.14,broken clouds,5.3505,48.5268,Iftin hotel hobyo
218,Kalianget,ID,81.55,overcast clouds,-7.05,113.9333,Pesanggrahan Garam
219,Takoradi,GH,76.46,light rain,4.8845,-1.7554,Raybow International Hotel
220,Lamar,US,88.65,clear sky,33.6668,-95.5836,Kings Inn Paris TX
221,Auki,SB,76.98,overcast clouds,-8.7676,160.7034,Auki Motel
222,Hithadhoo,MV,82.62,overcast clouds,-0.6,73.0833,Scoop Guest House
224,Galesong,ID,78.82,overcast clouds,-5.3166,119.3661,Sapriadi Appy
225,Puerto Leguizamo,CO,83.97,scattered clouds,-0.1934,-74.7819,la casona de juancho
226,Tashla,RU,75.4,broken clouds,51.7716,52.7427,Torch Hotel
230,Karratha,AU,77.0,overcast clouds,-20.7377,116.8463,ibis Styles Karratha
231,Remedios,CU,83.32,overcast clouds,22.4947,-79.5458,Hostal Yunai
232,Mulege,MX,87.17,clear sky,26.8833,-111.9833,Casa Granada
238,Magomeni,TZ,79.88,broken clouds,-6.8,39.25,Protea Hotel by Marriott Dar es Salaam Courtyard
240,Ixtapa,MX,82.22,broken clouds,20.7,-105.2,hotel la terminal
244,Bengkulu,ID,76.68,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
248,Kanakeravan,AM,86.81,few clouds,40.2467,44.5345,Planet Hotel
251,Sinnamary,GF,83.91,scattered clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
252,Jacareacanga,BR,88.43,clear sky,-6.2222,-57.7528,Casa do Ian😎
255,Milton,US,89.89,scattered clouds,34.1322,-84.3007,Pine Ridge Manufactured House
262,Vao,NC,75.83,light rain,-22.6667,167.4833,Hotel Kou-Bugny
264,Victoria,HK,85.17,overcast clouds,22.2855,114.1577,Mini Central
267,Mahon,ES,88.36,clear sky,39.8885,4.2658,ARTIEM Capri
272,Erenhot,CN,80.4,clear sky,43.6475,111.9767,Erenhot Rurouni Youth Hostel
278,Jiuquan,CN,82.18,overcast clouds,39.7432,98.5174,Jiuquan Hotel
279,Vila Velha,BR,80.55,clear sky,-20.3297,-40.2925,Hotel Vitória Palace
280,Road Town,VG,86.04,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
281,Vanimo,PG,77.23,scattered clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
283,Kloulklubed,PW,75.7,broken clouds,7.0419,134.2556,Storyboard Beach Resort
284,Semporna,MY,79.74,broken clouds,4.4818,118.6112,"Han Palace Hotel, Semporna, Sabah."
289,Alofi,NU,78.15,broken clouds,-19.0595,-169.9187,Taloa Heights
290,Kahului,US,75.85,clear sky,20.8947,-156.47,Maui Seaside Hotel
292,Fruitvale,US,87.93,clear sky,39.0817,-108.4968,Grand Junction Palomino Inn
294,Balkanabat,TM,89.24,clear sky,39.5108,54.3671,Nebitchi Hotel
296,Lasa,IT,85.69,overcast clouds,46.6166,10.7002,Pension Feldgärtenhof
299,Inongo,CD,75.49,light rain,-1.95,18.2667,Hotel Du Lac
305,Couvin,BE,85.77,broken clouds,50.0528,4.495,La Calestienne
306,Camapua,BR,84.52,broken clouds,-19.5314,-54.0439,Comercial Estrela
307,Nacozari,MX,85.1,broken clouds,25.3366,-108.2574,El Llano
311,Kieta,PG,77.88,clear sky,-6.2167,155.6333,Uruna Bay Retreat
312,Ca Mau,VN,79.74,overcast clouds,9.1769,105.15,Mường Thanh Luxury Cà Mau Hotel
313,San Jose De Guanipa,VE,83.32,broken clouds,8.8872,-64.1651,HOTEL 283 SUITES
315,Longhua,CN,76.03,light rain,23.6137,114.1919,Huadu Hotel
317,Bathsheba,BB,86.61,broken clouds,13.2167,-59.5167,Atlantis Hotel
320,Labuhan,ID,80.1,overcast clouds,-6.8844,112.2051,DoubleFAG
322,Bull Savanna,JM,83.08,overcast clouds,17.8868,-77.5902,Big Red's
323,Westport,US,83.16,scattered clouds,41.1415,-73.3579,The Westport Inn
324,Basco,PH,84.87,overcast clouds,20.4487,121.9702,Nathaniel's Lodge
332,Nishihara,JP,76.28,broken clouds,26.1842,127.7558,Minshuku Agaihama
333,Ponte Nova,BR,75.56,clear sky,-20.4164,-42.9086,Hotel Beira Rio
336,Dunmore Town,BS,80.38,broken clouds,25.5,-76.65,Coral Sands Hotel
338,Banda Aceh,ID,80.78,broken clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
339,Cartagena Del Chaira,CO,77.43,overcast clouds,1.3349,-74.8429,HOTEL LA ROCA
340,Laiwu,CN,84.31,clear sky,36.1928,117.6569,Hanting Hotel Laiwu Yinzuo Mall
341,Liverpool,GB,83.14,clear sky,53.4106,-2.9779,Premier Inn Liverpool City Centre (Moorfields) hotel
342,Aksu,CN,82.54,broken clouds,41.1231,80.2644,Pudong Holiday Hotel
344,Saint Anthony,US,76.48,clear sky,45.0205,-93.218,Holiday Inn Express Roseville-St. Paul
345,Adwa,ET,84.78,overcast clouds,14.1646,38.8955,Maay Assa Hotel
347,Grants,US,77.23,clear sky,35.1473,-107.8514,"Motel 6 Grants, NM"
355,Pemangkat,ID,78.01,overcast clouds,1.1667,108.9667,Ramah Kost KITA
361,Lata,PT,83.48,broken clouds,40.1629,-8.3327,Casa Maquia
368,Ushtobe,KZ,75.13,clear sky,45.2514,77.9838,Filipin Squad
372,Scarborough,GB,77.94,overcast clouds,54.2797,-0.4044,The Grand Hotel Scarborough
373,Broome,US,81.7,scattered clouds,42.2506,-75.833,Chenango Valley State Park
374,Nang Rong,TH,83.59,overcast clouds,14.6377,102.7914,Phanomrungpuri Boutique Hotels & Resorts
376,Eyl,SO,80.46,overcast clouds,7.9803,49.8164,Amiin Hotel
377,Mana,GF,84.81,scattered clouds,5.6592,-53.7767,LE SAMANA
380,Del Rio,US,82.8,clear sky,29.3627,-100.8968,"Holiday Inn Express & Suites del Rio, an IHG Hotel"
383,Emborion,GR,75.56,broken clouds,40.4833,21.55,Villa Kastanodasos
386,Pitimbu,BR,82.99,overcast clouds,-7.4706,-34.8086,Reserva do Abiaí
388,Mayskiy,RU,76.41,scattered clouds,47.6931,40.1025,Dio Lakrua
391,Tutoia,BR,85.05,overcast clouds,-2.7619,-42.2744,Pousada Guará's
397,Rajmahal,IN,83.37,moderate rain,25.05,87.8333,Marrage hall (विवाह भवन)
400,Aktau,KZ,84.78,overcast clouds,43.65,51.2,Silk Way Hotel
401,Cascais,PT,79.95,few clouds,38.6979,-9.4215,Hotel Vila Galé Cascais
403,Hohhot,CN,80.06,overcast clouds,40.8106,111.6522,Sheraton Hohhot Hotel
404,Novo Aripuana,BR,89.26,clear sky,-5.1206,-60.3797,Hotel Ezequiel
405,Kuah,MY,78.85,moderate rain,6.3265,99.8432,Azio Hotel
412,Benghazi,LY,78.85,clear sky,32.1167,20.0667,Tibesti Hotel
413,Lincoln,US,80.87,clear sky,40.8,-96.667,Courtyard by Marriott Lincoln Downtown/Haymarket
416,Makasar,ID,78.85,few clouds,-5.14,119.4221,Aryaduta Makassar
418,Touros,BR,81.9,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
420,Sao Filipe,CV,75.76,overcast clouds,14.8961,-24.4956,Hotel Xaguate
422,San Carlos,VE,82.36,overcast clouds,9.6612,-68.5827,Hotel Paternopoli
432,Karpathos,GR,76.96,few clouds,35.507,27.2132,Alex
434,Phan Thiet,VN,79.9,scattered clouds,10.9333,108.1,Hotel Saigon-PT
438,Cedar City,US,77.97,clear sky,37.6775,-113.0619,Hampton Inn Cedar City
440,Riverton,US,85.15,clear sky,40.5219,-111.9391,Ramada by Wyndham Draper
445,Marseille,FR,83.75,clear sky,43.3333,5.5,Hôtel The Originals Côté Sud (ex Inter-Hotel)
446,Fort-Shevchenko,KZ,77.74,broken clouds,44.5086,50.263,Oasis hotel Bautino
451,Port Blair,IN,83.34,scattered clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
455,Dodge City,US,88.05,clear sky,37.7528,-100.0171,Windsor Inn & Suites
458,El Penon,CO,80.24,overcast clouds,8.9892,-73.9486,Hotel Rio Grande
459,Mandalgovi,MN,76.95,overcast clouds,45.7625,106.2708,В.Ганбат
463,Cayenne,GF,87.84,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
465,Iquitos,PE,82.44,broken clouds,-3.7481,-73.2472,Cortez Malaga Techy Caroly
468,Ashland,US,79.34,clear sky,40.8167,-82.2665,SureStay
470,Nhulunbuy,AU,77.61,broken clouds,-12.2333,136.7667,East Arnhem Real Estate
472,Soyo,AO,76.64,overcast clouds,-6.1349,12.3689,Hospedaria ndozi'ame
479,Buala,SB,78.82,light rain,-8.145,159.5921,Maringe Lagoon Lodge
481,Dingle,PH,78.98,moderate rain,10.9995,122.6711,SEGAYA PROPERTY
482,Dongsheng,CN,80.13,overcast clouds,39.8161,109.9776,Crowne Plaza Ordos
486,Mpongwe,ZM,75.51,clear sky,-13.5091,28.155,Casablanca guest house and bar
487,Sao Joao Da Barra,BR,77.09,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
488,Luwuk,ID,76.93,scattered clouds,-0.9516,122.7875,Hotel Santika Luwuk
492,Tual,ID,81.7,few clouds,-5.6667,132.75,Grand Vilia Hotel
499,Corralillo,CU,84.11,broken clouds,22.9819,-80.5856,Hostal De Pedri
