City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,College,US,2022-06-02 17:40:09,64.8569,-147.8028,67.08,46,75,4.61
1,Brae,GB,2022-06-02 17:44:07,60.3964,-1.353,50.85,79,56,13.31
2,Ushuaia,AR,2022-06-02 17:41:10,-54.8,-68.3,37.06,65,0,3.44
3,Ixtapa,MX,2022-06-02 17:44:08,20.7,-105.2,74.43,88,100,5.75
4,Mahebourg,MU,2022-06-02 17:43:34,-20.4081,57.7,73.69,83,40,8.05
5,New Norfolk,AU,2022-06-02 17:44:08,-42.7826,147.0587,42.3,82,100,2.73
6,Hamilton,US,2022-06-02 17:40:30,39.1834,-84.5333,72.95,79,100,9.22
7,Torrevieja,ES,2022-06-02 17:44:09,37.9787,-0.6822,84.6,76,89,1.99
8,Quatre Cocos,MU,2022-06-02 17:44:10,-20.2078,57.7625,73.51,74,29,10.87
9,Itarema,BR,2022-06-02 17:44:10,-2.9248,-39.9167,81.41,80,91,9.66
10,Chara,RU,2022-06-02 17:44:11,56.9064,118.2631,48.43,73,62,4.38
11,San Quintin,MX,2022-06-02 17:44:11,30.4833,-115.95,67.96,67,20,8.77
12,Busselton,AU,2022-06-02 17:44:12,-33.65,115.3333,56.82,71,99,8.41
13,Gushikawa,JP,2022-06-02 17:44:12,26.3544,127.8686,76.23,100,40,9.22
14,Krasnyy Oktyabr,RU,2022-06-02 17:44:13,56.1167,38.8833,63.73,91,67,5.19
15,Mar Del Plata,AR,2022-06-02 17:42:40,-38.0023,-57.5575,50.95,54,40,4.61
16,Hobart,AU,2022-06-02 17:44:11,-42.8794,147.3294,42.66,85,100,6.91
17,Lorengau,PG,2022-06-02 17:44:14,-2.0226,147.2712,81.5,76,18,8.46
18,Atambua,ID,2022-06-02 17:44:15,-9.1061,124.8925,73.42,90,83,2.77
19,Saskylakh,RU,2022-06-02 17:44:15,71.9167,114.0833,34.61,95,100,3.6
20,Upernavik,GL,2022-06-02 17:44:16,72.7868,-56.1549,29.88,60,100,0.36
21,Port Augusta,AU,2022-06-02 17:39:21,-32.5,137.7667,50.86,80,100,8.16
22,Gisborne,NZ,2022-06-02 17:44:17,-38.6533,178.0042,58.03,73,81,9.48
23,Bafoulabe,ML,2022-06-02 17:44:17,13.8065,-10.8321,89.92,43,38,11.54
24,Saint-Philippe,RE,2022-06-02 17:44:18,-21.3585,55.7679,69.39,76,15,5.53
25,Port Elizabeth,ZA,2022-06-02 17:44:18,-33.918,25.5701,56.32,83,0,4.61
26,Franklin,US,2022-06-02 17:40:34,39.9667,-83.0166,72.07,84,100,16.11
27,Olinda,BR,2022-06-02 17:44:19,-8.0089,-34.8553,83.93,74,40,13.8
28,Bluff,NZ,2022-06-02 17:44:20,-46.6,168.3333,46.8,71,100,19.26
29,Dunedin,NZ,2022-06-02 17:43:28,-45.8742,170.5036,46.8,72,100,10.0
30,Isangel,VU,2022-06-02 17:39:16,-19.55,169.2667,76.59,86,89,10.87
31,Mogadishu,SO,2022-06-02 17:42:25,2.0371,45.3438,79.14,79,100,17.49
32,Amarante Do Maranhao,BR,2022-06-02 17:44:21,-5.5667,-46.7422,86.22,54,56,5.3
33,Cherskiy,RU,2022-06-02 17:40:44,68.75,161.3,38.5,74,63,10.94
34,Cayenne,GF,2022-06-02 17:44:22,4.9333,-52.3333,86.04,66,0,3.44
35,Barrow,US,2022-06-02 17:43:02,71.2906,-156.7887,24.82,86,100,10.36
36,Mataura,NZ,2022-06-02 17:44:22,-46.1927,168.8643,46.47,94,100,7.67
