City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Punta Arenas,CL,-53.15,-70.9167,39.22,81,40,18.41,scattered clouds
1,Butaritari,KI,3.0707,172.7902,82.02,77,12,15.64,light rain
2,Bambous Virieux,MU,-20.3428,57.7575,73.65,73,40,3.44,scattered clouds
3,Huarmey,PE,-10.0681,-78.1522,65.97,69,25,5.84,scattered clouds
4,Yarada,IN,17.65,83.2667,86.32,79,40,4.61,scattered clouds
5,Ponta Do Sol,PT,32.6667,-17.1,78.01,69,40,2.17,scattered clouds
6,Dromolaxia,CY,34.8761,33.586,97.84,66,20,11.5,few clouds
7,Jamestown,US,42.097,-79.2353,74.05,60,0,7.0,clear sky
8,Atuona,PF,-9.8,-139.0333,77.92,68,2,20.24,clear sky
9,Novosergiyevka,RU,52.0934,53.6528,76.53,62,97,7.61,overcast clouds
10,Codrington,AU,-38.2667,141.9667,48.65,93,5,5.44,clear sky
11,Saldanha,ZA,-33.0117,17.9442,60.85,84,6,19.26,clear sky
12,Mar Del Plata,AR,-38.0023,-57.5575,47.08,79,75,25.32,shower rain
13,Barrow,US,71.2906,-156.7887,41.11,76,88,6.64,overcast clouds
14,Hatillo,PR,18.4863,-66.8254,89.2,74,97,8.01,overcast clouds
15,Sioux Lookout,CA,50.1001,-91.917,53.67,58,20,9.22,few clouds
16,Kamenskiy,RU,50.8855,45.488,67.35,65,86,8.9,overcast clouds
17,Guerrero Negro,MX,27.9769,-114.0611,67.01,72,34,7.49,scattered clouds
18,Norsup,VU,-16.0667,167.3833,79.23,85,96,11.45,overcast clouds
19,Praia,CV,14.9215,-23.5087,86.54,42,20,14.97,few clouds
20,Bluff,NZ,-46.6,168.3333,47.37,73,45,13.73,scattered clouds
21,Puerto Ayora,EC,-0.7393,-90.3518,73.36,96,99,5.99,overcast clouds
22,Chapais,CA,49.7834,-74.8492,56.98,95,100,10.11,overcast clouds
23,Busselton,AU,-33.65,115.3333,57.07,68,95,20.74,overcast clouds
24,Constitucion,CL,-35.3333,-72.4167,53.74,56,8,6.44,clear sky
25,Yulara,AU,-25.2406,130.9889,59.56,50,71,9.06,broken clouds
26,Albany,US,42.6001,-73.9662,81.28,52,4,12.28,clear sky
27,Hellvik,NO,59.9156,5.781,59.77,91,100,13.0,light rain
28,Port-Cartier,CA,50.0334,-66.8654,57.42,94,100,7.14,overcast clouds
29,Hobart,AU,-42.8794,147.3294,49.26,95,100,6.91,light rain
30,Zhaotong,CN,27.3167,103.7167,60.71,95,100,4.81,overcast clouds
31,Palana,RU,59.1167,159.9667,41.36,98,100,12.17,light rain
32,Saint-Philippe,RE,-21.3585,55.7679,72.99,81,55,5.86,broken clouds
33,Berlevag,NO,70.8578,29.0864,44.55,81,75,6.91,broken clouds
34,Boone,US,39.0334,-92.3335,83.39,62,100,2.8,overcast clouds
35,Severomuysk,RU,56.1481,113.4267,51.96,55,28,3.0,scattered clouds
36,Sarakhs,IR,36.5449,61.1577,93.99,14,0,18.5,clear sky
37,Noumea,NC,-22.2763,166.4572,73.99,99,100,4.27,heavy intensity rain
38,Ushuaia,AR,-54.8,-68.3,33.46,100,75,17.27,snow
39,Cape Town,ZA,-33.9258,18.4232,64.38,70,20,17.27,few clouds
40,Black River,JM,18.0264,-77.8487,86.02,57,97,5.84,overcast clouds
41,Verkhnyaya Inta,RU,65.9811,60.3094,61.3,88,100,4.09,overcast clouds
42,Yablochnyy,RU,47.1661,142.0661,49.35,96,21,2.53,few clouds
43,Rikitea,PF,-23.1203,-134.9692,72.14,67,58,0.54,broken clouds
44,Monroe,US,43.1501,-77.6831,77.49,55,0,8.99,clear sky
45,Khromtau,KZ,50.2503,58.4347,76.26,44,33,11.1,scattered clouds
46,Visnes,NO,59.3556,5.2242,58.82,94,75,20.71,light rain
47,Aquiraz,BR,-3.9014,-38.3911,85.44,65,72,10.6,broken clouds
48,Tasiilaq,GL,65.6145,-37.6368,38.46,85,73,6.96,broken clouds
49,Qaanaaq,GL,77.484,-69.3632,39.25,80,2,5.08,clear sky
50,Viedma,AR,-40.8135,-62.9967,47.77,44,6,24.09,clear sky
51,Thompson,CA,55.7435,-97.8558,46.56,39,20,5.75,few clouds
52,San Patricio,US,28.017,-97.5169,86.07,54,24,6.31,few clouds
